,name,type1,type2,ability1,ability2,hiddenability,hp,atk,physdef,spatk,spdef,speed,bst,alternate,isLegend,isFinal,tier
0,Bulbasaur,grass,poison,Overgrow,Chlorophyll,,45,49,49,65,65,45,318,False,False,False,LC
1,Ivysaur,grass,poison,Overgrow,Chlorophyll,,60,62,63,80,80,60,405,False,False,False,NFE
2,Venusaur,grass,poison,Overgrow,Chlorophyll,,80,82,83,100,100,80,525,False,False,True,UU
3,Charmander,fire,,Blaze,Solar Power,,39,52,43,60,50,65,309,False,False,False,LC
4,Charmeleon,fire,,Blaze,Solar Power,,58,64,58,80,65,80,405,False,False,False,NFE
5,Charizard,fire,flying,Blaze,Solar Power,,78,84,78,109,85,100,534,False,False,True,RU
6,Squirtle,water,,Torrent,Rain Dish,,44,48,65,50,64,43,314,False,False,False,LC
7,Wartortle,water,,Torrent,Rain Dish,,59,63,80,65,80,58,405,False,False,False,NFE
8,Blastoise,water,,Torrent,Rain Dish,,79,83,100,85,105,78,530,False,False,True,RU
9,Caterpie,bug,,Shield Dust,Run Away,,45,30,35,20,20,45,195,False,False,False,LC
10,Metapod,bug,,Shed Skin,,,50,20,55,25,25,30,205,False,False,False,NFE
11,Butterfree,bug,flying,Compound Eyes,Tinted Lens,,60,45,50,90,80,70,395,False,False,True,RU
12,Weedle,bug,poison,Shield Dust,Run Away,,40,35,30,20,20,50,195,False,False,False,LC
13,Kakuna,bug,poison,Shed Skin,,,45,25,50,25,25,35,205,False,False,False,NFE
14,Beedrill,bug,poison,Swarm,Sniper,,65,90,40,45,80,75,395,False,False,True,RU
15,Pidgey,normal,flying,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251,False,False,False,LC
16,Pidgeotto,normal,flying,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349,False,False,False,NFE
17,Pidgeot,normal,flying,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,479,False,False,True,RU
18,Rattata,normal,,Run Away,Guts,Hustle,30,56,35,25,35,72,253,False,False,False,LC
19,Raticate,normal,,Run Away,Guts,Hustle,55,81,60,50,70,97,413,False,False,True,RU
20,Spearow,normal,flying,Keen Eye,Sniper,,40,60,30,31,31,70,262,False,False,False,LC
21,Fearow,normal,flying,Keen Eye,Sniper,,65,90,65,61,61,100,442,False,False,True,RU
22,Ekans,poison,,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,288,False,False,False,LC
23,Arbok,poison,,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,448,False,False,True,RU
24,Pikachu,electric,,Static,Lightning Rod,,35,55,40,50,50,90,320,False,False,False,NFE
25,Raichu,electric,,Static,Lightning Rod,,60,90,55,90,80,110,485,False,False,True,RU
26,Sandshrew,ground,,Sand Veil,Sand Rush,,50,75,85,20,30,40,300,False,False,False,LC
27,Sandslash,ground,,Sand Veil,Sand Rush,,75,100,110,45,55,65,450,False,False,True,RU
28,Nidoran-F,poison,,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,275,False,False,False,LC
29,Nidorina,poison,,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,365,False,False,False,NFE
30,Nidoqueen,poison,ground,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,505,False,False,True,RU
31,Nidoran-M,poison,,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,273,False,False,False,LC
32,Nidorino,poison,,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,365,False,False,False,NFE
33,Nidoking,poison,ground,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,505,False,False,True,RU
34,Clefairy,fairy,,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,323,False,False,False,NFE
35,Clefable,fairy,,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,483,False,False,True,UU
36,Vulpix,fire,,Flash Fire,Drought,,38,41,40,50,65,65,299,False,False,False,LC
37,Ninetales,fire,,Flash Fire,Drought,,73,76,75,81,100,100,505,False,False,True,RU
38,Jigglypuff,normal,fairy,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,270,False,False,False,NFE
39,Wigglytuff,normal,fairy,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,435,False,False,True,RU
40,Zubat,poison,flying,Inner Focus,Infiltrator,,40,45,35,30,40,55,245,False,False,False,LC
41,Golbat,poison,flying,Inner Focus,Infiltrator,,75,80,70,65,75,90,455,False,False,False,NFE
42,Oddish,grass,poison,Chlorophyll,Run Away,,45,50,55,75,65,30,320,False,False,False,LC
43,Gloom,grass,poison,Chlorophyll,Stench,,60,65,70,85,75,40,395,False,False,False,NFE
44,Vileplume,grass,poison,Chlorophyll,Effect Spore,,75,80,85,110,90,50,490,False,False,True,RU
45,Paras,bug,grass,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,285,False,False,False,LC
46,Parasect,bug,grass,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,405,False,False,True,RU
47,Venonat,bug,poison,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,305,False,False,False,LC
48,Venomoth,bug,poison,Shield Dust,Tinted Lens,Wonder Skin ,70,65,60,90,75,90,450,False,False,True,RU
49,Diglett,ground,,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,265,False,False,False,LC
50,Dugtrio,ground,,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,425,False,False,True,RU
51,Meowth,normal,,Pickup,Technician,Unnerve,40,45,35,40,40,90,290,False,False,False,LC
52,Persian,normal,,Limber,Technician,Unnerve,65,70,60,65,65,115,440,False,False,True,RU
53,Psyduck,water,,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,320,False,False,False,LC
54,Golduck,water,,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,500,False,False,True,RU
